,team_display_name,team_id
1,Abilene Chrstn,2000
2,Adams St,2001
3,Air Force,2005
4,Akron,2006
5,Alabama,333
6,Alabama A&M,2010
7,Alabama St,2011
8,Albany St,2013
9,Alcorn St,2016
10,Alice Lloyd,484
11,American,44
12,Anderson SC,380
13,Andrews Univer,128343
14,Angelo State,2025
15,ANTELOPE,109597
16,Appalachian St,2026
17,Apprentice,3111
18,Aquinas,486
19,Arcadia,407
20,AR-Fort Smith,3157
21,Arizona,12
22,Arizona St,9
23,Ark Bapt,2027
24,Arkansas,8
25,Arkansas St,2032
26,Arlington Bpt,3166
27,Army,349
28,AR-Pine Bluff,2029
29,Asbury,2036
30,Auburn,2
31,Augustine,395
32,Aurora,2044
33,Austin Peay,2046
34,Ave Maria,3178
35,AVILA,2048
36,Bakersfield,2934
37,Ball State,2050
38,Bard,66779
39,Baylor,239
40,Belhaven,2056
41,Bellarmine,91
42,Bellevue Univ,2853
43,Belmont,2057
44,BENMESA,110031
45,Berea,2061
46,Berry,2757
47,Bethany WV,2062
48,BETHEL (IN),122634
49,Bethel (TN),2064
50,Bethesda,3246
51,Bethune,2065
52,Bible Studies,128256
53,Binghamton,2066
54,Birm-Southern,3
55,Blackburn,2070
56,Bloomsburg,2071
57,Bluefield U,495
58,Bluemtn,494
59,Bobjones,3243
60,Boise St,68
61,Boston College,103
62,Boston U,104
63,Bowie State,2075
64,Bowling Green,189
65,Boyce,109700
66,Bradley,71
67,Brescia,2855
68,Brevard,2913
69,Brewton-Parker,2077
70,Bridgewater VA,2079
71,Brown,225
72,Bryan (TN),2081
73,Bryant,2803
74,Bryn Athyn,109684
75,Bucknell,2083
76,Buffalo,2084
77,Buffalo St,2085
78,Butler,2086
79,BYU,252
80,C Arkansas,2110
81,C Connecticut,2115
82,C Michigan,2117
83,CA Baptist,2856
84,Cairn,3216
85,Cal Maritime,500
86,Cal Poly,13
87,California,25
88,Calumet,502
89,Campbell,2097
90,Campbelsvl,2098
91,Canisius,2099
92,Car Christian,128326
93,Carolina,108942
94,Carroll MT,2104
95,Central Penn,3164
96,CENTRALCHR,112698
97,Chaminade,2124
98,Champ Christian,3134
99,Charleston,232
100,Charleston So,2127
101,Charlotte,2429
102,Chattanooga,236
103,Cheyney (PA),2129
104,Chicago St,2130
105,CHRIS,111180
106,Cincinnati,2132
107,Clark Atl,2805
108,Clarks Summit,109636
109,Cleary U,128438
110,Clemson,228
111,Cleveland St,325
112,Coast Guard,2557
113,Coastal Car,324
114,Coastalga,3189
115,Coe,2141
116,Coker,229
117,Col Christian,2862
118,Col St Pueblo,49865
119,Colby-Sawyer,35
120,Colgate,2142
121,Colorado,38
122,Colorado Coll,2144
123,Colorado St,36
124,Colum Intl,3242
125,Columbia,171
126,Conc.-St. Paul,3066
127,Concordia CA,506
128,Coppin St,2154
129,Cornell,172
130,Covenant,2157
131,Creighton,156
132,Crown,509
133,CS D Hills,2092
134,CSU Northridge,2463
135,Cumberland (KY),511
136,Curry,40
137,Dakota Wesleyan,513
138,Dall Christian,2937
139,Dallas,2163
140,Dalton St,3247
141,Dartmouth,159
142,Davenport,3092
143,Davidson,2166
144,Dayton,2168
145,DE Valley,2808
146,Defiance,190
147,Delaware,48
148,Delaware St,2169
149,Delta St,2170
150,Denver,2172
151,DePaul,305
152,DePauw,83
153,Detroit Mercy,2174
154,Dillard,2176
155,Doane,2178
156,Drake,2181
157,Drexel,2182
158,Duke,150
159,Duquesne,2184
160,D'Youville,126796
161,E Illinois,2197
162,E Kentucky,2198
163,E Menonite,2192
164,E Michigan,2199
165,E New Mex,2201
166,E Oregon,2202
167,E Washington,331
168,East Carolina,151
169,East-West,3107
170,Ecclesia,3120
171,Ed Waters,2206
172,Elizabeth,2207
173,Elms College,111948
174,Elon,2210
175,EMERSON,108842
176,Erskine,2215
177,ETSU,2193
178,Eureka,101
179,Evansville,339
180,Evergreen,2866
181,Fair Dickinson,161
182,Fairfield,2217
183,FAU,2226
184,FDU Florhm,2221
185,Felician,128327
186,Ferrum,366
187,FGCU,526
188,Fisher,524
189,Fisk,2225
190,FIU,2229
191,FL Memorial,2227
192,Florida,57
193,Florida A&M,50
194,Florida St,52
195,Fordham,2230
196,Framingham St,126956
197,FRANCISCAN,111170
198,Frdonia St,2902
199,Fresno Pac,2235
200,Fresno St,278
201,Friends,128218
202,Ft Vly St,2232
203,FTLAUD,123362
204,Fullerton,2239
205,Furman,231
206,G Washington,45
207,GA Southern,290
208,Gallaudet,417
209,Gardner-Webb,2241
210,George Fox,415
211,George Mason,2244
212,Georgetown,46
213,Georgia,61
214,Georgia St,2247
215,Georgia Tech,59
216,GOLDY,108859
217,Gonzaga,2250
218,Goshen,3067
219,Grambling,2755
220,Grand Canyon,2253
221,Green Bay,2739
222,Greensboro,2256
223,Gwynedd-Mercy,461
224,Hampton,2261
225,Hannibal,533
226,Hardin-Sim,2810
227,Har-Stowe,534
228,Hartford,42
229,Harvard,108
230,Hawai'i,62
231,Hawaii Pac,2269
232,Haw-Hilo,2267
233,Heidelberg,191
234,Hendrix,418
235,High Point,2272
236,Hofstra,2275
237,Holy Cross,107
238,HOOD,108854
239,Hou Christian,2277
240,Houghton,538
241,Houston,248
242,Howard,47
243,Hwrd Payne,2758
244,Idaho,70
245,Idaho St,304
246,Illinois,356
247,Illinois St,2287
248,Illinois Tech,73
249,Immaculata,107554
250,Incarnate Word,2916
251,Indiana,84
252,Indiana Nw,3088
253,Indiana St,282
